"DATE","CPI","Exchange Rate","Interest Rate","Nighttime Light","Instability of Regime","Instability within Regime","Mass Civil Protest","Political Violence","Commodity Price Index"
"2012.01.01",18.58314606,2.10265911767564,4,0.228786269045723,-0.486750824439209,0.462248100051802,0.815034149858743,-0.450403748593407,0.695678424352653
"2012.02.01",16.54254059,0.238479396998859,4,0.168590607765128,-0.493480537508137,-0.0647831825088587,-0.328279567889805,-0.792745546208087,0.592330717006329
"2012.03.01",14.04751124,0.123193338061611,4,0.208668728845191,0.349066489025133,0.497112694090422,-0.445167273226121,0.0266502621416654,0.118068833973872
"2012.04.01",11.54979163,0.0500395591969571,4,0.25910693984774,-0.123508349563347,-0.755747702811887,-0.708923538037381,-0.597892088662858,-0.357160975726667
"2012.05.01",9.338598218,0.163676612277275,4,0.231357350716725,-0.621493398667667,-0.952961161155774,0.529771270930341,0.632632962478211,-0.774774449649362
"2012.06.01",7.165631767,-0.21869654808615,4,0.233583881127285,-0.764352874338417,-1.07422241123322,-0.00302710277153931,0.1321363780195,-1.09571776723736
"2012.07.01",5.747228038,-0.186090028975805,4,0.274161311073881,-0.377118365059153,-0.438868084992546,0.410828898072421,1.07181728157482,0.42466735839799
"2012.08.01",4.990307988,-0.0673139854068694,4,0.213938635302798,-0.265554239946133,-0.507954415489544,0.403466243493196,0.46164664650741,0.180082416726957
"2012.09.01",4.560077233,-0.101622258804923,4,0.241215954545032,-0.628194664793797,-0.988840583622959,0.326830491958192,-0.0855340729967863,0.781583317446199
"2012.10.01",4.4024391,-0.158816623650448,4,0.136697043295904,-0.63127420928491,0.441369271107741,0.458700420797987,0.58177188435001,-0.112200264416229
"2012.11.01",4.348402396,-0.14252072171379,4,0.219678206455541,0.58904137001057,0.794517122157805,2.1136801836563,1.83160543269674,-0.485953789304894
"2012.12.01",4.213664702,0.416806715010143,4,0.304215068109164,-0.393865578662554,-0.263521160475851,1.4369945089873,0.865645124470599,0.364286411797798
"2013.01.01",0.557240023,-0.684288830503021,4,0.188786269045723,-0.764352874338417,-0.788355188198858,-0.605229598750735,-0.171110581788879,0.32621748148971
"2013.02.01",0.711473796,0.688204397820247,4,0.238590607765128,-0.209854219140078,-0.969196744433765,0.0773071577301819,0.042610009586748,0.14348667045927
"2013.03.01",0.719365483,-0.240356888107041,4,0.178668728845191,-0.0175947455456913,-0.36192640703254,-0.183126362637121,0.687083371704897,-0.760607386865475
"2013.04.01",0.687016559,0.0270011816533966,4,0.24910693984774,-0.515535462148148,-1.54345642917835,-0.599377290200731,-0.235053713309555,-0.840321068687877
"2013.05.01",0.714333624,0.150282435927718,4,0.231357350716725,-0.515189398924822,-0.330687972498543,0.560696637893015,0.539050166897256,0.105689028153044
"2013.06.01",0.726515233,-0.0446607348666639,4,0.243583881127285,-0.512250231632743,-1.38291308352812,-0.86161808276458,-0.94158930917891,-0.37691315298819
"2013.07.01",0.766904399,-0.0418952447511778,3.5,0.224161311073881,0.0274513745245143,-0.409615581309477,0.0476126954027112,0.681699971944836,0.0290070989366953
"2013.08.01",0.864564131,-0.00805881562655486,3.5,0.243938635302798,-0.0634180653868197,-0.816243655844474,0.463179785914979,0.909335900215674,0.66618213163907
"2013.09.01",0.916097544,0.139729578109549,3.5,0.151215954545032,-0.384534559411283,-0.731724038069721,-0.347382763238458,0.342442689575163,0.0140767316332058
"2013.10.01",0.992834256,0.431989934210453,3.25,0.156697043295904,-0.262274634628421,-0.797873794051147,-0.86161808276458,0.900121666390388,0.0122593886110245
"2013.11.01",0.993578535,0.204472241270182,3.25,0.219678206455541,-0.764352874338417,-0.554865646748073,0.575485661153183,1.16376087464112,-0.323922608538529
"2013.12.01",1.046020598,0.161846316355518,3.25,0.154215068109164,-0.623961148658751,-0.0598881172722502,0.435159803631071,0.600747554427982,0.383065626779744
"2014.01.01",1.09715744,0.122683132359924,3.25,0.258786269045723,-0.606076003701304,-0.442313497371872,-0.397619242681946,0.0851989666975682,0.0139054843014907
"2014.02.01",1.149691942,-0.0424371508542798,3.25,0.188590607765128,-0.764352874338417,-1.21843257561736,-0.520062839360306,-0.517289026683796,-0.180207323801185
"2014.03.01",1.270714212,-0.146801748002812,3.25,0.175109406811292,-0.588574114766843,-1.03983506234549,-0.86161808276458,-0.576406300211737,-1.01552945791946
"2014.04.01",1.322985952,-0.186086638541294,3.25,0.20910693984774,-0.426044047139538,-0.686720773094079,-0.675792309311049,0.113007245748439,0.0641515303388962
"2014.05.01",1.370144026,0.0515804961903399,3.25,0.271357350716725,-0.155798123592474,0.199859761103509,-0.519666544165922,-0.142022973921898,0.451144718410523
"2014.06.01",1.410032516,0.0281154469024436,3.25,0.223583881127285,-0.764352874338417,-0.867881655876909,-0.692712000928098,0.0613937156022079,-0.0705699854046005
"2014.07.01",1.399928549,-0.103414263907897,2.95,0.214161311073881,-0.764352874338417,-1.10990648004595,-0.692922517653142,-0.503116733838902,0.473187217468118
"2014.08.01",1.286873212,0.055532287804283,2.95,0.233938635302798,-0.456766946374816,-0.436997914808523,-0.137218407859866,-0.314554672322968,-0.402855815505421
